waddle ID,date,route name,start time,duration,battery percent start (%),battery temp start (C),battery percent end (%),battery temp end (C),maximum altitude (m),maximum horizontal distance (m)
waddle1,2019/11/25,hut-test,17:55:59,3:41,92,19.25,69,25.55,64.68,404.81
waddle1,2019/11/25,hut-test,18:03:57,3:07,67,24.75,46,29.45,58.45,404.81
waddle1,2019/11/25,hut-test,18:15:41,4:23,42,25.85,11,35.75,59.07,404.81
waddle1,2019/11/28,z3-w1,14:30:44,12:05,96,13.45,37,37.15,90.00,1396.61
waddle1,2019/11/28,z3-w1,16:19:45,7:47,96,25.55,55,29.65,70.00,1383.99
waddle1,2019/11/28,z0-w1,16:36:30,8:10,97,22.15,54,35.65,50.00,1605.49
waddle1,2019/11/28,hut-test,18:14:05,2:48,95,21.05,84,25.65,50.00,302.02
waddle1,2019/11/28,hut-test,18:19:55,2:53,82,24.35,68,29.85,50.00,302.02
waddle1,2019/11/28,hut-test,18:34:30,2:57,64,26.35,50,29.85,50.00,302.02
waddle1,2019/11/28,hut-test,18:38:12,2:57,49,29.35,34,34.15,50.00,302.02
waddle1,2019/11/28,hut-test,18:41:40,4:01,32,34.25,12,42.65,50.00,302.02
waddle1,2019/11/28,hut-test,19:25:53,3:07,96,19.95,83,25.35,50.00,334.79
waddle1,2019/11/28,hut-test,19:29:21,3:13,81,25.85,67,30.35,50.00,334.79
waddle1,2019/11/28,hut-test,19:32:47,3:02,65,31.15,51,33.45,50.00,334.79
waddle1,2019/11/28,ice,19:45:26,8:17,47,28.35,10,41.55,51.90,187.72
waddle1,2019/12/02,w1-r0-BN,14:56:45,14:14,95,18.45,27,38.15,60.37,1681.49
waddle1,2019/12/02,w1-r2-BMN,15:18:02,13:11,98,18.05,37,35.75,60.00,1608.76
waddle1,2019/12/02,w1-r3-HKT,15:36:22,8:13,97,19.05,60,30.85,64.74,1652.28
waddle1,2019/12/02,w1-r3-HKT,15:53:37,11:49,98,19.45,43,31.75,64.74,1652.28
waddle1,2019/12/11,r1-BMN,14:17:31,13:47,95,15.55,28,38.75,77.35,1665.09
waddle1,2019/12/11,r5-EHKL,14:48:38,14:25,95,16.75,23,41.75,91.10,1637.47
waddle1,2019/12/11,r8-DQRT,15:20:27,12:09,95,18.35,31,31.55,90.19,1472.15
waddle1,2019/12/11,r12-ROOK,16:37:24,12:22,98,15.95,38,30.65,70.00,2686.55
waddle1,2019/12/11,r12-ROOK,16:55:10,14:29,85,17.25,15,39.25,70.00,2686.55
waddle1,2019/12/17,hut-test,13:36:24,5:33,96,10.75,71,17.65,71.88,1479.85
